LANGUAGE_NAME_INTERNATIONAL = Turkish
LANGUAGE_NAME_LOCALE = Türkçe

CHAT = Sohbet
SAVE_AND_APPLY = Kaydet ve Uygula
CANCEL = Vazgeç

MALE = bay
FEMALE = bayan
UNDEFINED = tanımsız

PLAYERNAME = Oyuncu İsmi
CHANNELNAME = Kanal İsmi
STATIONMAP = İstasyon Haritası
DATABASE = Veritabanı
SOUND_OUTPUT = Ses Çıktısı
GRAPHICS = Grafik
MUSIC = Müzik
SFX = Ses Efektleri
FULLSCREEN = Tam Ekran
MULTIPLAYER = Çoklu Oyuncu
RENDERER = İşleyici
SOUND_ENGINE = Ses Motoru
DEFAULTS_FOR_NEW_GAME= "Yeni Oyun" için Varsayılanlar
PORT_ONLINEGAME = Internet Oyunu için Port

STARTHINT_TITLE1 = Program Planı
STARTHINT_TEXT1 = CTRL Tuşu, Programı Plana birden çok kez yerleştirmenizi sağlar. SHIFT Tuşu, Dizinin bir sonraki bölümünü yerleştirmenizi sağlar.
STARTHINT_TITLE2 = Program Planı
STARTHINT_TEXT2 = Yayının başarısı, programın Kalite/Reyting değerine çok bağlıdır. Ayrıca, programın yayın saati, Türün popularitesine, izleyicilerin takip eden (genellikle benzer) programa olan ilgilerine ve yayınlanan fragman miktarına bağlıdır. Haber yayınları ve diğer faktörler de başarıyı mutlaka etkiler.\n\n Komedi gibi bazı program türleri, yüksek güncellik içerse de diğer programlara göre daha yüksek sıklıkla yayınlanabilir.
STARTHINT_TITLE3 = Reklam Kontratları
STARTHINT_TEXT3 = Reklam Kontratları, en az izleyici sınırı ile tanımlanır. Reklamın getirisi ve cezası, kanalın ulaşabileceği en fazla izleyici potansiyeli ile bağlantılıdır. \n\n Bu nedenle bazen yeni istasyon anlaşması yapmadan önce kontratları imzalamak iyi olabilir.

CLOSES_AT_TIME = %TIME% olmadan önce...
CLOSES_AT_DAY = Kapatır: %TIME%

GAME_TITLE = Oyun Başlığı
START_YEAR = Başlangıç Yılı

GAME_TIME = Oyun Zamanı
GAMEDAY = Oyun Günü
BETTY_FEELINGS = Betty'nin sizin hakkınızdaki hisleri
THERE_IS_NO_LOVE_IN_THE_AIR_YET = Henüz havada aşk kokusu yok... ;)

PLEASE_BE_PATIENT = Lütfen, bekleyiniz
SAVEGAME_GETS_CREATED = Oyun kaydediliyor
SAVEGAME_GETS_LOADED = Oyun yükleniyor

PROGRAMMELICENCES = Program Lisansları
SELECT_LICENCES_FOR_SALE = Satılacak Lisansları Seçin


YES = Evet
NO = Hayır
MONEY = Bütçe
DEBT = Borç
REACH = Eriş
INCREASE = Arttır
PRICE = Fiyat
VALUE = Değer
BROADCASTING_AREA = Yayın Alanı

CURRENCY = €
OCLOCK =
DAY = gün
DAYS = gün
WEEK_SHORT_MONDAY		= pzt
UNDER_CONSTRUCTION = Yapım Aşamasında
READY_AT_TIME_X = Hazır olacağı zaman; %TIME%
READY_AT_DAY_X = Hazır olacağı zaman; %TIME%
STATION_UNDER_CONSTRUCTION = Yapım aşamasında İstasyonları
NEW_STATION_WILL_BE_READY_AT_TIME_X = Yeni istasyon hazır olacak; %TIME% 
NEW_STATION_WILL_BE_READY_AT_DAY_X = Yeni istasyon hazır olacak; %TIME%

BUY_AND_SELL = Al ve Sat
AND_STATISTICS = ve İstatistikler
FOR_PRIVATE_AFFAIRS = en özel ihtiyaçlarınız için

STATISTICS_NOT_AVAILABLE = İstatistik hazır değil

MOVIES = Film
SERIES = Dizi
SERIES_SINGULAR = Dizi
SPECIAL_BIN = Özel
AUCTION = Açık Arttırma
TRAILER = Fragman
X_RATED = +18
MOVIES_AND_SERIES_AUCTION = Film ve Dizi Açık Arttırması

OLD = Eski
TODAY = Bugün
YESTERDAY = Dün
TWO_DAYS_AGO = 2 gün önce

SPECIAL_NEWS_BROADCAST = Özel Haberler

24_HOURS_GAMEDAY = 24 saatlik Oyun Günü
ALLOW_TRAILERS_AND_INFOMERCIALS = Fragman ve Ödemeli Programlar Açık
ALLOW_MOVIES_WITH_YEAR_OF_PRODUCTION_GT_GAMEYEAR = Oyun yılından sonra üretilmiş filmlere İzin ver.
OPTION_ON = Seçenek AÇIK
OPTION_OFF = Seçenek KAPALI
AVAILABLE_GAMES = Mevcut Oyunlar
ALREADY_OVER = Bitti mi...?
DO_YOU_REALLY_WANT_TO_QUIT = Gerçekten çıkmak istiyor musun?
DO_YOU_REALLY_WANT_TO_QUIT_THE_GAME_AND_RETURN_TO_STARTSCREEN = Gerçekten oyundan çıkmak ve Ana Ekrana dönmek istiyor musun?

CONTINUE_GAME = Oyuna devam et
LOAD_GAME = Oyunu Yükle
SAVE_GAME = Oyunu Kaydet
EXIT_GAME = Oyundan Çıkış
EXIT_TO_MAINMENU = Ana Menüye Çıkış
NAME_OF_SAVEGAME = Kayıt İsmi
OVERWRITE_SAVEGAME = Üzerine Yazılsın mı?
DO_YOU_REALLY_WANT_TO_OVERWRITE_SAVEGAME_X = Gerçekten Kayıtlı oyun %SAVEGAME% silinsin mi?

ADCONTRACT_FINISHED = Reklam Kontratı tamamlandı
ADCONTRACT_FAILED = Reklam Kontratı Başarısız
ADCONTRACT_X_SUCCESSFULLY_FINISHED = "%TITLE%" Reklam Kontratı başarıyla tamamlandı.
PROFIT_OF_X_GOT_CREDITED = Kazanılan miktar: %MONEY% 
ADCONTRACT_X_FAILED = "%TITLE%" Reklam Kontratı başarısız.
PENALTY_OF_X_WAS_PAID = Ödenen ceza: %MONEY% .
BROADCAST_OF_XRATED_PROGRAMME_X_NOT_ALLOWED_DURING_DAYTIME = +18 olan Film, "%TITLE%" , gün içinde YAYINLANAMAZ.
AUTHORITIES_STOPPED_BROADCAST = Yetkililer yayını durdurdu
AUTHORITIES_CONFISCATED_LICENCE = Yetkililer lisansa el koydu
PROGRAMMELICENCE_X_GOT_CONFISCATED = "%TITLE%" isimli program lisansına el konuldu.
SEEMS_AUTHORITIES_VISITED_THE_WRONG_ROOM = Yetkililer yanlış odayı ziyaret ettiler.
BETTER_WATCH_OUT_NEXT_TIME = Bir dahaki sefere daha dikkatli davranın.

YOU_HAVE_BEEN_OUTBID = Açık arttırmada sizden iyi teklif veren oldu.
SOMEONE_BID_MORE_THAN_YOU_FOR_X = "%TITLE%" için senden daha iyi teklif veren oldu.
YOUR_PREVIOUS_BID_OF_X_WAS_REFUNDED = Verdiğiniz, %MONEY% miktarda teklif ücreti iade edildi.  

YOU_HAVE_WON_AN_AUCTION = Bir Açık Arttırma kazandınız.
THE_LICENCE_OF_X_IS_NOW_AT_YOUR_DISPOSAL = "%TITLE%" isimli lisans artık sizin. 

YOUR_BOSS_WANTS_TO_SEE_YOU = Patron sizi görmek istiyor.
YOU_HAVE_GOT_X_HOURS TO_VISIT_HIM = Görüşmek için %HOURS% saat süreniz var.
CLICK_HERE_TO_START_YOUR_VISIT_AHEAD_OF_TIME = Görüşmeye şimdi gitmek için, buraya tıklayın.

HINT_PRESSING_ALT_WILL_SHOW_DETAILS = "ALT" tuşuna basarak detayları görebilirsiniz.
HINT_PROGRAMMEPLANER_SHORTCUTS = ALT: Sayfayı değiştir | CTRL+SolTuş: Programı Kopyala | SHIFT+SolTuş: Sonraki Bölüm
HINT = İpucu

PREPARING_START_DATA = Başlangıç Veri Hazırlanıyor...
SYNCHRONIZING_START_CONDITIONS = Başlangıç Durumu Senkronizasyonu
STARTING_MULTIPLAYERGAME = Çok Oyunculu Oyun Başlatılıyor
STARTING_SINGLEPLAYERGAME = Tek Oyunculu Oyun Başlatılıyor

WEATHER_FORECAST_FOR_X_TILL_Y = %BEGINHOUR% - %ENDHOUR% saatleri arası hava durumu
SKY_IS_PARTIALLY_CLOUDY = Hava parçalı bulutlu.
SKY_IS_OVERCAST = Hava bulutlu.
SKY_IS_WITHOUT_CLOUDS = Gökyüzü açık.
SUN_SHINES_WHOLE_TIME = Güneş tepede.
SUN_WINS_AGAINST_CLOUDS = Güneş, bulutlara karşı gökyüzünü kazanıyor.
SUN_IS_SHINING_SOMETIMES = Güneş arada yüzünü gösteriyor.
SUN_IS_NOT_SHINING = Gökyüzü gri, güneş görünmüyor.
RAIN_AND_SNOW_ALTERNATE = Karla karışık yağmurlu.
RAIN_IS_POSSIBLE = Yağmur yağabilir.
SNOW_IS_FALLING = Caddelere dikkat edin. Kar yağıyor ve gizli buzlanma olabilir.
TEMPERATURES_ARE_BETWEEN_X_AND_Y = Isı %MINTEMPERATURE% ile %MAXTEMPERATURE%°C arasında...
TEMPERATURE_IS_CONSTANT_AT_X = Isı tam olarak  %TEMPERATURE%°C sabit.


IN_THE_LATER_HOURS1 = Önümüzdeki saatlerde
IN_THE_LATER_HOURS2 = Şafaktan sonra
IN_THE_LATER_HOURS3 = Sonra
STORMY_WINDS_OF_UP_TO_X1 = Rüzgar şiddeti %MAXWINDVELOCITY% km/s üzerinde.
STORMY_WINDS_OF_UP_TO_X2 = Sertleşen hava şartlarında rüzgar hızı %MAXWINDVELOCITY% km/s.
NEARLY_NO_WIND1 = Hava sakin.
NEARLY_NO_WIND2 = Rüzgarsız.
SLOW_WIND_WITH_X_AND_GUST_OF_WIND_WITH_Y1 = Hafif esinti %MINWINDVELOCITY% km/s ile %MAXWINDVELOCITY% km/s arasında.
WIND_VELOCITIES_ARE_BETWEEN_X_AND_Y1 = Rüzgarın hızı %MINWINDVELOCITY% ile %MAXWINDVELOCITY% km/s arasında.
WIND_VELOCITY_IS_CONSTANT_AT_X1 = Rüzgarın şiddeti %WINDVELOCITY% km/s.

LOCKED = Kilitli
ACCESS_TO_THIS_ROOM_IS_ONLY_POSSIBLE_WITH_THE_RIGHT_KEY = Bu odaya giriş sadece doğru anahtarla olabilir.
BLOCKED = Bloke
ACCESS_TO_THIS_ROOM_IS_CURRENTLY_NOT_POSSIBLE = Bu odaya erişim, şu anda mümkün değil.

OPENINGSHOW_TITLE = %CHANNELNAME% kanalından büyük açılış
OPENINGSHOW_DESCRIPTION = Şampanyaları patlatın. %CHANNELNAME% bugün açılıyor.

CONSTRUCTION_TIME = İnşaat süresi
