LANGUAGE_NAME_INTERNATIONAL = Francais	
LANGUAGE_NAME_LOCALE = Francais

CHAT = Chat
SAVE_AND_APPLY = Sauvegarder et appliquer
CANCEL = Annuler

MALE = Homme	
FEMALE = femme
UNDEFINED = Non defini


PLAYERNAME = Nom du Joeur
CHANNELNAME = Nom de la chaine
STATIONMAP = Carte des stations
DATABASE = Base de données
SOUND_OUTPUT = audio
GRAPHICS = Graphiques
MUSIC = Musique
SFX = Effets audio
FULLSCREEN = plein ecran
MULTIPLAYER = Multi joueurs
RENDERER = Rendu
SOUND_ENGINE = Moteur Audio
DEFAULTS_FOR_NEW_GAME= Nouvelle partie auto
PORT_ONLINEGAME = Port jeu en Ligne

STARTHINT_TITLE1 = Programme plan
STARTHINT_TEXT1 = The CTRL-key allows you to place a programme multiple times on your plan. While the SHIFT-key tries to place the next episode of a series.
STARTHINT_TITLE2 = Programme plan
STARTHINT_TEXT2 = The success of a broadcast is heavily based on the quality/rating of the programme. Also important is the air time of the programme, the popularity of the genre, the audience flow to (hopefully similar) follow up programmes and the amount of broadcasted trailers. The quality of news shows and other factors are playing an important role too.\n\nProgrammes of certain genres like comedy can be broadcasted in more often than other genres while keeping most of their topicality.
STARTHINT_TITLE3 = Ad contracts
STARTHINT_TEXT3 = Ad contracts have defined requirements to the minimum audience. This and of course profits/penalties are directly attached to the maximum audience a channel can reach currently.\n\nTherefore it is sometimes better to sign new contracts right before buying new stations.

CLOSES_AT_TIME = Closes at %TIME%

GAME_TITLE = Nom de la partie
START_YEAR = Année de début

GAME_TIME = Heure
GAMEDAY = Jour
BETTY_FEELINGS = feeling avec Betty
THERE_IS_NO_LOVE_IN_THE_AIR_YET = c'est pas encore l'amour ;)

PLEASE_BE_PATIENT = Patienter svp
SAVEGAME_GETS_CREATED = Sauvegarde crée
SAVEGAME_GETS_LOADED = Sauvegarde chargée

PROGRAMMELICENCES = Programme licences
SELECT_LICENCES_FOR_SALE = choisir licence à vendre

YES = Oui	
NO = Non
MONEY = Argent
DEBT = Dette
REACH = portée
INCREASE = Augmentation
PRICE = Prix
VALUE = Valeur
BROADCASTING_AREA = Zone de diffusion

CURRENCY = €
OCLOCK =
DAY = jour
DAYS = jours
WEEK_SHORT_MONDAY		= lu
SEEMS_AUTHORITIES_VISITED_THE_WRONG_ROOM = Autorités ont visité la mauvaise sale
BETTER_WATCH_OUT_NEXT_TIME = Regarde mieux la prochaine fois

YOU_HAVE_BEEN_OUTBID = Vous avez été surenchéri
SOMEONE_BID_MORE_THAN_YOU_FOR_X = Quelqu'un enchérir plus que vous pour "%TITLE%"
YOUR_PREVIOUS_BID_OF_X_WAS_REFUNDED = Votre offre précédente de %MONEY% a été remboursé. 

YOU_HAVE_WON_AN_AUCTION = Victoire sur une enchére
THE_LICENCE_OF_X_IS_NOW_AT_YOUR_DISPOSAL = La licence "%TITLE%" est maintenant à vous. 

YOUR_BOSS_WANTS_TO_SEE_YOU = Votre patron veut vous voir
YOU_HAVE_GOT_X_HOURS TO_VISIT_HIM = vous avez %HOURS% heures pour lui rendre visite.
CLICK_HERE_TO_START_YOUR_VISIT_AHEAD_OF_TIME = Click ici pour lui rendre visite maitenant.

HINT_PRESSING_ALT_WILL_SHOW_DETAILS = Pressing "ALT"-key will show details.
HINT_PROGRAMMEPLANER_SHORTCUTS = ALT: switch datasheet | CTRL+Click: copy programme | SHIFT+Click: next episode
HINT = astuce

PREPARING_START_DATA = Preparing start data
SYNCHRONIZING_START_CONDITIONS = Synchronizing start conditions
STARTING_MULTIPLAYERGAME = Starting multiplayer game
STARTING_SINGLEPLAYERGAME = Starting singleplayer game

WEATHER_FORECAST_FOR_X_TILL_Y = Weather forecast for %BEGINHOUR% till %ENDHOUR% o'clock
SKY_IS_PARTIALLY_CLOUDY = Sky is partially cloudy.
SKY_IS_OVERCAST1 = Sky is full of clouds.
SKY_IS_WITHOUT_CLOUDS = Sky keeps free of clouds.
SUN_SHINES_WHOLE_TIME = Sun will shine the whole time.
SUN_WINS_AGAINST_CLOUDS1 = Sun wins against existing clouds.
SUN_IS_SHINING_SOMETIMES = Sun will shine from time to time.
SUN_IS_NOT_SHINING = Grey sky, sun won't shine.
RAIN_AND_SNOW_ALTERNATE = Rain and snow alternate.
RAIN_IS_POSSIBLE = It might rain.
SNOW_IS_FALLING = Attention on the streets. Snow is falling and black ice is possible.
TEMPERATURES_ARE_BETWEEN_X_AND_Y = Temperatures will be between %MINTEMPERATURE% and %MAXTEMPERATURE%°C
TEMPERATURE_IS_CONSTANT_AT_X = Temperature is at constant  %TEMPERATURE%°C


IN_THE_LATER_HOURS1 = In the later hours
IN_THE_LATER_HOURS2 = After dawn
IN_THE_LATER_HOURS3 = Later
STORMY_WINDS_OF_UP_TO_X1 = Squalls of up to %MAXWINDVELOCITY% km/h drag over the land.
STORMY_WINDS_OF_UP_TO_X2 = Strong breezes up to squalls of %MAXWINDVELOCITY% km/h.
NEARLY_NO_WIND1 = There is almost no wind.
NEARLY_NO_WIND2 = It blows hardly Wind.
SLOW_WIND_WITH_X_AND_GUST_OF_WIND_WITH_Y1 = Light breeze from %MINWINDVELOCITY% km/h and isolated gusts of up to %MAXWINDVELOCITY% km/h.
WIND_VELOCITIES_ARE_BETWEEN_X_AND_Y1 = The wind speeds are between %MINWINDVELOCITY% and %MAXWINDVELOCITY% km/h.
WIND_VELOCITY_IS_CONSTANT_AT_X1 = The wind speed is constant %WINDVELOCITY% km/h.

LOCKED = Fermé
ACCESS_TO_THIS_ROOM_IS_ONLY_POSSIBLE_WITH_THE_RIGHT_KEY = Uniquement possible avec le bouton droit
BLOCKED = Bloqué
ACCESS_TO_THIS_ROOM_IS_CURRENTLY_NOT_POSSIBLE = La salle n'est pas disponible

OPENINGSHOW_TITLE = Big launch of "%CHANNELNAME%
OPENINGSHOW_DESCRIPTION = Let's pop the corks. %CHANNELNAME% is launching today.

CONSTRUCTION_TIME = Construction Time

PRIMETIME = Primetime
NIGHTTIME = Night time
LOW_AUDIENCE = Low audience
HIGH_AUDIENCE = High audience
